Ámbito,Partido,Votos
SOPELA,PSE-PSOE,786
URDULIZ,PSE-PSOE,242
DERIO,PSE-PSOE,675
ERANDIO,PSE-PSOE,2681
LOIU,PSE-PSOE,83
SONDIKA,PSE-PSOE,286
ZAMUDIO,PSE-PSOE,178
FORUA,PSE-PSOE,18
KORTEZUBI,PSE-PSOE,2
MURUETA,PSE-PSOE,7
NABARNIZ,PSE-PSOE,0
AJANGIZ,PSE-PSOE,3
ARRATZU,PSE-PSOE,4
ZIORTZA - BOLIBAR,PSE-PSOE,2
MUNICIPIO CERA BIZKAIA,PSE-PSOE,194
HERNANI,PSE-PSOE,1444
DONOSTIA/SAN SEBASTIÁN,PSE-PSOE,20571
URNIETA,PSE-PSOE,533
USURBIL,PSE-PSOE,299
LASARTE-ORIA,PSE-PSOE,3238
ASTIGARRAGA,PSE-PSOE,387
HONDARRIBIA,PSE-PSOE,1179
IRUN,PSE-PSOE,8693
LEZO,PSE-PSOE,327
OIARTZUN,PSE-PSOE,290
PASAIA,PSE-PSOE,1593
ERRENTERIA,PSE-PSOE,5241
ABALTZISKETA,PSE-PSOE,3
ADUNA,PSE-PSOE,3
ALBIZTUR,PSE-PSOE,7
ALEGIA,PSE-PSOE,67
ALKIZA,PSE-PSOE,3
ALTZO,PSE-PSOE,2
AMEZKETA,PSE-PSOE,7
ANDOAIN,PSE-PSOE,1847
ANOETA,PSE-PSOE,90
ARAMA,PSE-PSOE,5
ASTEASU,PSE-PSOE,35
ATAUN,PSE-PSOE,22
BEASAIN,PSE-PSOE,1018
BELAUNTZA,PSE-PSOE,3
BERASTEGI,PSE-PSOE,28
BERROBI,PSE-PSOE,15
ZEGAMA,PSE-PSOE,25
ZERAIN,PSE-PSOE,1
ZIZURKIL,PSE-PSOE,246
ELDUAIN,PSE-PSOE,0
EZKIO-ITSASO,PSE-PSOE,12
GAINTZA,PSE-PSOE,1
GABIRIA,PSE-PSOE,7
HERNIALDE,PSE-PSOE,6
IBARRA,PSE-PSOE,256
IDIAZABAL,PSE-PSOE,52
IKAZTEGIETA,PSE-PSOE,11
IRURA,PSE-PSOE,64
ITSASONDO,PSE-PSOE,19
LARRAUL,PSE-PSOE,1
LAZKAO,PSE-PSOE,320
LEABURU,PSE-PSOE,3
LEGAZPI,PSE-PSOE,732
LEGORRETA,PSE-PSOE,69
LIZARTZA,PSE-PSOE,3
MUTILOA,PSE-PSOE,4
OLABERRIA,PSE-PSOE,83
OREXA,PSE-PSOE,0
ORMAIZTEGI,PSE-PSOE,47
SEGURA,PSE-PSOE,21
TOLOSA,PSE-PSOE,1050
VILLABONA,PSE-PSOE,320
ORDIZIA,PSE-PSOE,680
URRETXU,PSE-PSOE,681
ZALDIBIA,PSE-PSOE,34
ZUMARRAGA,PSE-PSOE,1702
BALIARRAIN,PSE-PSOE,1
ORENDAIN,PSE-PSOE,0
ALTZAGA,PSE-PSOE,4
GAZTELU,PSE-PSOE,1
AIZARNAZABAL,PSE-PSOE,9
ANTZUOLA,PSE-PSOE,108
ARETXABALETA,PSE-PSOE,431
AIA,PSE-PSOE,24
AZKOITIA,PSE-PSOE,588
AZPEITIA,PSE-PSOE,342
BEIZAMA,PSE-PSOE,0
BIDANIA-GOIATZ,PSE-PSOE,4
ZESTOA,PSE-PSOE,82
DEBA,PSE-PSOE,270
EIBAR,PSE-PSOE,4255
ELGOIBAR,PSE-PSOE,843
ELGETA,PSE-PSOE,24
ESKORIATZA,PSE-PSOE,240
GETARIA,PSE-PSOE,60
ARRASATE/MONDRAGON,PSE-PSOE,1867
MUTRIKU,PSE-PSOE,135
OÑATI,PSE-PSOE,371
ORIO,PSE-PSOE,267
SORALUZE-PLACENCIA DE LAS ARMAS,PSE-PSOE,341
ERREZIL,PSE-PSOE,0
LEINTZ-GATZAGA,PSE-PSOE,0
BERGARA,PSE-PSOE,808
ZARAUTZ,PSE-PSOE,1443
ZUMAIA,PSE-PSOE,659
MENDARO,PSE-PSOE,125
MUNICIPIO CERA GIPUZKOA,PSE-PSOE,189
VITORIA-GASTEIZ,PP,16792
ALEGRÍA-DULANTZI,PP,73
ARAMAIO,PP,1
ARMIÑÓN,PP,17
ARRATZUA-UBARRUNDIA,PP,43
ASPARRENA,PP,20
BAÑOS DE EBRO/MAÑUETA,PP,66
BARRUNDIA,PP,23
BERANTEVILLA,PP,41
BERNEDO,PP,27
CAMPEZO/KANPEZU,PP,32
ZIGOITIA,PP,53
KRIPAN,PP,11
KUARTANGO,PP,20
ELBURGO/BURGELU,PP,33
ELCIEGO,PP,121
ELVILLAR/BILAR,PP,35
IRURAIZ-GAUNA,PP,23
LABASTIDA/BASTIDA,PP,180
LAGRÁN,PP,27
LAGUARDIA,PP,213
LANCIEGO/LANTZIEGO,PP,53
LAPUEBLA DE LABARCA,PP,77
LEZA,PP,4
ARRAIA-MAEZTU,PP,32
MOREDA DE ÁLAVA/MOREDA ARABA,PP,15
NAVARIDAS,PP,49
OYÓN-OION,PP,212
PEÑACERRADA-URIZAHARRA,PP,23
ERRIBERAGOITIA/RIBERA ALTA,PP,40
RIBERA BAJA/ERRIBERA BEITIA,PP,98
AÑANA,PP,13
AGURAIN/SALVATIERRA,PP,83
SAMANIEGO,PP,4
SAN MILLÁN/DONEMILIAGA,PP,16
