TH;Cod Comarca;Cod Municipio;Ámbito;Censo;Votantes;Nulos;Válidos;Blancos;Votos Candidatura;Abstención;PSE-PSOE;PP;PH;PCTE / ELAK;PACMA/ATTKAA;PUM+J;Cs;I.FEM;SAIn;FAC;VOX;M.C.R.;ALTER;PIRATAS;RECORTES CERO-GV;EAJ-PNV... (E19);CXE;EH BILDU... (E19);CONTIGO;ADÑ;AxSÍ;PACT;CPE;MIEL;IZQP;PCPE-PCPC-PCPA;PODEMOS-IU;JUNTS;IGRE;VOLT;CV-EC;CEX-CREX-PREX
Bizkaia;"	03";"	027";DURANGO;22724;15365;75;15290;121;15169;7359;2042;661;3;5;90;12;279;23;2;2;110;2;4;11;17;5767;2;4208;2;2;0;4;8;3;3;9;1770;61;3;11;48;5
Bizkaia;"	03";"	029";ETXEBARRI;8632;5678;57;5621;73;5548;2954;1416;258;3;13;87;7;201;13;1;3;82;0;4;3;13;1908;1;574;3;4;0;6;4;2;3;2;903;2;3;8;17;4
Bizkaia;"	03";"	032";ELORRIO;5779;4219;13;4206;34;4172;1560;404;139;0;2;17;1;61;4;2;0;11;0;1;0;0;1500;3;1672;1;0;0;0;3;1;1;1;308;31;0;0;9;0
Bizkaia;"	03";"	034";ERMUA;12652;8288;51;8237;95;8142;4364;2763;791;5;6;49;6;304;7;3;6;103;1;4;6;10;1711;3;1140;0;2;4;2;3;0;0;13;1155;10;3;8;21;3
Bizkaia;"	03";"	036";GALDAKAO;24067;15636;85;15551;144;15407;8431;2680;596;4;11;154;16;340;29;4;6;126;3;4;6;32;5750;8;3460;3;2;1;6;8;2;5;13;2041;51;6;7;29;4
Bizkaia;"	03";"	039";GARAI;256;228;1;227;1;226;28;6;1;0;0;2;0;2;0;0;0;5;0;0;1;1;116;0;81;0;0;0;0;0;0;0;0;8;3;0;0;0;0
Bizkaia;"	03";"	050";IZURTZA;187;169;1;168;;168;18;3;1;0;0;1;0;0;0;1;0;0;0;0;0;0;73;0;85;0;0;0;0;0;0;0;0;3;1;0;0;0;0
Bizkaia;"	03";"	055";LEMOA;2593;1909;13;1896;5;1891;684;145;28;0;1;11;5;19;3;0;0;18;0;0;0;1;826;0;695;0;0;0;0;1;1;0;0;126;7;1;1;1;1
Bizkaia;"	03";"	058";MALLABIA;948;747;9;738;5;733;201;58;6;0;0;1;0;6;3;0;0;0;0;0;1;0;330;0;290;0;0;0;0;0;0;0;0;36;1;0;1;0;0
Bizkaia;"	03";"	059";MAÑARIA;407;353;3;350;3;347;54;5;5;0;0;1;0;4;1;0;0;0;0;0;0;0;165;0;151;1;0;0;0;0;0;0;0;11;3;0;0;0;0
Bizkaia;"	03";"	065";UGAO-MIRABALLES;3303;2340;15;2325;17;2308;963;241;52;0;2;10;1;25;0;0;0;8;0;0;0;8;1103;1;665;0;0;0;0;1;0;0;1;181;5;0;0;4;0
Bizkaia;"	03";"	072";OTXANDIO;967;746;5;741;6;735;221;24;10;0;0;3;0;1;0;0;0;1;0;1;0;0;284;0;386;0;0;0;1;0;0;0;0;22;2;0;0;0;0
Bizkaia;"	03";"	074";URDUÑA/ORDUÑA;3273;2417;20;2397;26;2371;856;225;76;0;3;5;1;36;2;1;0;14;0;1;3;4;1079;0;758;0;0;0;1;0;0;0;1;155;2;0;0;4;0
Bizkaia;"	03";"	075";OROZKO;2066;1529;17;1512;23;1489;537;65;39;1;3;12;0;17;1;0;0;7;0;1;0;3;785;0;429;0;0;0;0;1;0;0;0;115;9;1;0;0;0
Bizkaia;"	03";"	088";UBIDE;133;106;1;105;1;104;27;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;26;0;68;0;0;0;0;0;0;0;0;3;2;0;0;0;0
Bizkaia;"	03";"	091";ATXONDO;1086;846;4;842;5;837;240;56;10;0;1;4;0;6;0;0;1;0;0;0;1;0;370;0;341;0;0;0;0;0;0;0;0;41;6;0;0;0;0
Bizkaia;"	03";"	092";BEDIA;874;655;3;652;14;638;219;40;12;0;1;4;0;6;0;0;0;6;0;0;0;1;375;1;162;0;0;0;0;0;0;0;0;29;0;0;0;1;0
Bizkaia;"	03";"	093";AREATZA;897;740;6;734;15;719;157;24;24;0;1;6;0;4;1;0;0;0;0;1;0;1;312;0;305;0;0;0;0;0;0;0;0;29;11;0;0;0;0
Bizkaia;"	03";"	094";IGORRE;3137;2335;21;2314;22;2292;802;92;21;3;1;7;0;19;2;2;0;10;1;2;2;0;1123;0;889;0;0;0;0;2;0;0;1;99;11;2;0;3;0
Bizkaia;"	03";"	095";ZALDIBAR;2335;1550;5;1545;11;1534;785;282;75;0;0;6;0;17;1;0;0;1;11;1;2;5;501;1;459;0;0;0;0;2;0;0;0;165;4;0;0;1;0
Bizkaia;"	03";"	097";ZARATAMO;1313;908;7;901;7;894;405;114;25;0;0;17;0;15;0;0;0;4;0;0;0;0;365;0;260;0;1;0;0;0;0;1;0;90;1;0;0;1;0
Bizkaia;"	03";"	910";IURRETA;2823;1910;6;1904;9;1895;913;330;77;0;0;10;2;30;1;0;0;15;0;0;0;0;727;0;526;0;0;0;0;3;0;0;0;165;1;1;3;4;0
Bizkaia;"	04";"	004";AMOROTO;323;238;1;237;2;235;85;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;116;1;110;0;0;0;0;0;0;0;0;4;0;0;0;0;1
Bizkaia;"	04";"	007";MUNITIBAR-ARBATZEGI GERRIKAITZ-;386;276;;276;1;275;110;5;0;0;0;1;0;0;1;0;0;0;0;0;0;0;116;0;143;0;0;0;0;0;0;0;0;7;2;0;0;0;0
Bizkaia;"	04";"	010";ARRIETA;483;364;2;362;1;361;119;9;0;0;0;2;0;2;2;0;0;0;0;0;1;0;198;0;118;0;0;0;0;0;0;0;0;25;2;0;0;2;0
Bizkaia;"	04";"	012";BAKIO;2072;1623;9;1614;4;1610;449;59;25;0;1;10;3;15;3;0;0;1;0;0;0;2;760;0;602;0;0;0;2;0;1;0;0;102;18;3;0;3;0
Bizkaia;"	04";"	014";BARRIKA;1238;809;4;805;12;793;429;86;22;0;0;14;1;21;0;0;0;3;0;0;0;2;353;0;220;0;0;0;0;1;1;0;0;59;7;0;0;3;0
Bizkaia;"	04";"	016";BERANGO;5452;3725;24;3701;23;3678;1727;548;217;2;1;45;3;149;2;0;0;44;0;0;0;5;1432;2;777;2;0;0;1;2;0;0;2;415;12;1;1;15;0
Bizkaia;"	04";"	017";BERMEO;13222;8785;99;8686;43;8643;4437;375;77;2;4;41;3;39;8;1;3;15;0;2;4;5;4795;0;2683;2;0;1;1;26;0;1;4;493;41;1;2;12;2
Bizkaia;"	04";"	018";BERRIATUA;865;593;3;590;8;582;272;16;1;0;0;2;0;1;2;0;0;1;0;1;0;0;248;0;280;0;0;0;0;0;0;0;0;27;3;0;0;0;0
Bizkaia;"	04";"	021";BUSTURIA;1326;954;13;941;8;933;372;63;20;0;1;3;0;5;1;1;0;1;0;1;0;0;480;0;289;0;0;0;1;0;0;0;0;60;4;0;0;3;0
Bizkaia;"	04";"	028";EA;693;601;5;596;5;591;92;3;0;0;0;2;0;4;0;0;0;1;0;1;0;0;254;0;305;0;0;0;0;0;0;0;0;19;2;0;0;0;0
Bizkaia;"	04";"	030";ETXEBARRIA;606;526;1;525;4;521;80;8;3;0;1;0;0;0;1;0;0;0;0;0;0;0;274;0;225;0;0;0;0;0;0;0;0;9;0;0;0;0;0
Bizkaia;"	04";"	031";ELANTXOBE;306;246;;246;2;244;60;3;1;0;0;1;0;1;0;0;0;0;0;0;0;0;127;0;106;0;0;0;0;0;0;0;0;3;2;0;0;0;0
Bizkaia;"	04";"	033";EREÑO;212;170;4;166;5;161;42;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;55;0;0;0;0;0;0;0;0;7;1;0;0;0;0
