index,TH,Cod Comarca,Cod Municipio,Ámbito,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,PH,PCTE / ELAK,PACMA/ATTKAA,PUM+J,Cs,I.FEM,SAIn,FAC,VOX,M.C.R.,ALTER,PIRATAS,RECORTES CERO-GV,EAJ-PNV... (E19),CXE,EH BILDU... (E19),CONTIGO,ADÑ,AxSÍ,PACT,CPE,MIEL,IZQP,PCPE-PCPC-PCPA,PODEMOS-IU,JUNTS,IGRE,VOLT,CV-EC,CEX-CREX-PREX
55,Bizkaia,2,13,BARAKALDO,79482,49333,218.0,49115,320.0,48795,30149,14703,2991,19,55,509,53,1344,65,10,5,703,16,96,33,123,15047,93,5073,16,5,7,27,36,5,12,108,7383,86,18,32,112,10
56,Bizkaia,2,22,KARRANTZA HARANA/VALLE DE CARRANZA,2315,1834,20.0,1814,37.0,1777,481,170,34,0,0,16,1,19,0,0,2,19,0,0,0,1,1102,1,265,1,0,0,4,0,0,1,3,125,11,0,1,1,0
57,Bizkaia,2,37,GALDAMES,682,528,12.0,516,8.0,508,154,34,4,0,1,1,0,2,1,0,0,0,0,0,0,0,260,0,164,0,0,0,1,0,0,0,0,35,3,0,0,2,0
58,Bizkaia,2,42,GORDEXOLA,1358,1063,11.0,1052,14.0,1038,295,91,56,0,0,9,0,29,1,0,1,11,0,0,0,0,596,0,155,0,0,0,0,0,0,0,0,80,6,0,0,3,0
59,Bizkaia,2,45,GÜEÑES,5213,3853,41.0,3812,31.0,3781,1360,514,103,0,1,27,0,37,2,0,1,14,0,1,1,2,1741,1,954,1,1,0,0,4,0,2,2,356,6,0,2,7,1
60,Bizkaia,2,51,LANESTOSA,217,173,2.0,171,,171,44,12,0,0,0,1,0,5,0,0,0,0,0,0,0,5,89,0,35,1,0,0,0,0,0,0,0,21,2,0,0,0,0
61,Bizkaia,2,71,MUSKIZ,6046,4330,37.0,4293,42.0,4251,1716,990,84,1,1,25,3,44,5,0,1,24,2,0,2,4,1821,3,737,0,5,0,2,2,1,0,0,483,3,0,1,7,0
62,Bizkaia,2,78,PORTUGALETE,38015,24116,109.0,24007,191.0,23816,13899,7927,1499,7,24,198,18,544,25,4,2,243,1,10,10,26,6885,21,2815,13,11,11,7,11,1,16,17,3320,68,9,16,53,4
63,Bizkaia,2,80,VALLE DE TRÁPAGA-TRAPAGARAN,9949,6626,44.0,6582,43.0,6539,3323,1752,196,3,1,61,6,90,2,0,1,51,4,1,5,10,2359,0,1101,2,2,0,5,2,1,2,6,834,15,2,5,20,0
64,Bizkaia,2,82,SANTURTZI,37404,23735,125.0,23610,174.0,23436,13669,5826,1109,4,8,202,17,493,17,6,5,232,6,8,5,41,8372,4,3663,4,7,1,9,19,3,12,28,3258,25,12,8,28,4
65,Bizkaia,2,83,ORTUELLA,6952,4702,17.0,4685,37.0,4648,2250,1037,98,0,3,37,1,56,1,0,0,25,1,2,2,3,1769,0,685,0,2,0,1,2,0,1,9,900,5,1,2,4,1
66,Bizkaia,2,84,SESTAO,21847,13596,103.0,13493,106.0,13387,8251,3712,636,4,10,148,13,257,10,1,0,95,1,7,8,23,4574,8,1709,5,2,3,4,4,1,9,16,2073,23,3,4,17,7
67,Bizkaia,2,86,SOPUERTA,2024,1473,24.0,1449,29.0,1420,551,147,25,0,1,5,1,26,1,0,0,6,0,0,0,2,673,0,346,0,0,0,0,0,0,1,1,172,5,0,2,6,0
68,Bizkaia,2,87,TRUCIOS-TURTZIOZ,435,385,5.0,380,4.0,376,50,28,9,0,0,0,0,2,0,0,0,3,0,0,0,1,248,0,58,0,0,0,0,0,0,0,0,27,0,0,0,0,0
69,Bizkaia,2,90,BALMASEDA,6021,4442,68.0,4374,39.0,4335,1579,879,163,0,5,22,2,91,1,0,0,47,0,1,2,6,2045,2,636,0,0,0,1,3,0,1,2,398,18,0,0,9,1
70,Bizkaia,2,96,ZALLA,6563,5059,62.0,4997,47.0,4950,1504,666,105,6,4,38,6,82,6,4,0,31,0,1,2,5,2725,2,730,2,3,0,2,0,0,2,5,494,10,1,4,13,1
71,Bizkaia,2,912,ALONSOTEGI,2328,1726,12.0,1714,13.0,1701,602,222,34,0,2,7,1,25,1,0,0,10,0,1,2,2,744,1,472,0,3,0,1,1,0,0,1,166,1,0,3,1,0
72,Bizkaia,2,913,ZIERBENA,1226,899,9.0,890,8.0,882,327,64,13,0,0,3,0,12,1,0,0,3,0,0,0,1,486,0,220,0,0,0,0,0,0,0,0,69,8,0,0,1,1
73,Bizkaia,3,1,ABADIÑO,5900,4045,26.0,4019,51.0,3968,1855,643,155,3,1,38,2,98,5,0,0,35,0,0,0,6,1267,0,1278,1,1,0,2,2,2,1,1,403,10,0,1,11,2
74,Bizkaia,3,3,AMOREBIETA-ETXANO,14628,10144,61.0,10083,70.0,10013,4484,1199,202,1,1,72,5,135,7,0,1,47,4,10,2,28,4381,5,2831,0,0,1,1,10,5,3,19,1001,25,4,0,11,2
75,Bizkaia,3,5,ARAKALDO,112,88,1.0,87,7.0,80,24,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,35,0,30,0,0,0,0,0,0,0,0,7,1,0,0,0,0
76,Bizkaia,3,6,ARANTZAZU,312,267,1.0,266,3.0,263,45,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,119,0,123,0,0,0,0,0,0,0,0,11,1,0,0,1,0
77,Bizkaia,3,9,ARRANKUDIAGA,769,651,1.0,650,4.0,646,118,18,7,0,0,4,0,9,0,0,0,2,0,0,0,0,297,0,286,0,0,0,0,0,0,0,0,22,1,0,0,0,0
78,Bizkaia,3,11,ARRIGORRIAGA,9659,6277,33.0,6244,59.0,6185,3382,1064,193,3,2,77,5,139,7,0,0,36,0,0,2,5,2269,3,1548,3,1,0,2,2,1,0,7,766,28,4,2,16,0
79,Bizkaia,3,15,BASAURI,33153,20665,95.0,20570,147.0,20423,12488,5302,1142,24,17,199,6,434,19,2,3,183,2,6,26,17,7598,8,2592,3,3,1,11,8,3,6,15,2682,35,5,17,48,6
80,Bizkaia,3,19,BERRIZ,3466,2468,9.0,2459,14.0,2445,998,351,77,3,1,12,2,49,8,4,0,18,1,2,1,3,931,3,665,0,0,0,1,6,0,1,3,285,8,0,0,6,4
81,Bizkaia,3,23,ARTEA,579,494,6.0,488,2.0,486,85,8,10,0,0,0,1,4,0,0,0,0,0,0,0,0,236,0,196,0,0,0,0,0,0,0,0,31,0,0,0,0,0
82,Bizkaia,3,24,ZEANURI,1005,810,8.0,802,2.0,800,195,7,6,0,0,1,0,8,0,0,0,0,0,1,0,1,389,0,350,0,0,0,0,1,0,0,0,31,5,0,0,0,0
83,Bizkaia,3,25,ZEBERIO,860,704,3.0,701,3.0,698,156,13,3,0,0,2,0,3,1,0,0,2,0,0,0,0,364,0,273,0,0,0,0,0,0,0,0,35,2,0,0,0,0
84,Bizkaia,3,26,DIMA,1139,953,9.0,944,11.0,933,186,6,2,2,0,4,0,8,4,0,0,3,0,2,1,1,369,0,480,0,0,0,0,1,0,0,0,43,6,0,0,1,0
85,Bizkaia,3,27,DURANGO,22724,15365,75.0,15290,121.0,15169,7359,2042,661,3,5,90,12,279,23,2,2,110,2,4,11,17,5767,2,4208,2,2,0,4,8,3,3,9,1770,61,3,11,48,5
86,Bizkaia,3,29,ETXEBARRI,8632,5678,57.0,5621,73.0,5548,2954,1416,258,3,13,87,7,201,13,1,3,82,0,4,3,13,1908,1,574,3,4,0,6,4,2,3,2,903,2,3,8,17,4
87,Bizkaia,3,32,ELORRIO,5779,4219,13.0,4206,34.0,4172,1560,404,139,0,2,17,1,61,4,2,0,11,0,1,0,0,1500,3,1672,1,0,0,0,3,1,1,1,308,31,0,0,9,0
88,Bizkaia,3,34,ERMUA,12652,8288,51.0,8237,95.0,8142,4364,2763,791,5,6,49,6,304,7,3,6,103,1,4,6,10,1711,3,1140,0,2,4,2,3,0,0,13,1155,10,3,8,21,3
89,Bizkaia,3,36,GALDAKAO,24067,15636,85.0,15551,144.0,15407,8431,2680,596,4,11,154,16,340,29,4,6,126,3,4,6,32,5750,8,3460,3,2,1,6,8,2,5,13,2041,51,6,7,29,4
90,Bizkaia,3,39,GARAI,256,228,1.0,227,1.0,226,28,6,1,0,0,2,0,2,0,0,0,5,0,0,1,1,116,0,81,0,0,0,0,0,0,0,0,8,3,0,0,0,0
91,Bizkaia,3,50,IZURTZA,187,169,1.0,168,,168,18,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,73,0,85,0,0,0,0,0,0,0,0,3,1,0,0,0,0
92,Bizkaia,3,55,LEMOA,2593,1909,13.0,1896,5.0,1891,684,145,28,0,1,11,5,19,3,0,0,18,0,0,0,1,826,0,695,0,0,0,0,1,1,0,0,126,7,1,1,1,1
93,Bizkaia,3,58,MALLABIA,948,747,9.0,738,5.0,733,201,58,6,0,0,1,0,6,3,0,0,0,0,0,1,0,330,0,290,0,0,0,0,0,0,0,0,36,1,0,1,0,0
94,Bizkaia,3,59,MAÑARIA,407,353,3.0,350,3.0,347,54,5,5,0,0,1,0,4,1,0,0,0,0,0,0,0,165,0,151,1,0,0,0,0,0,0,0,11,3,0,0,0,0
95,Bizkaia,3,65,UGAO-MIRABALLES,3303,2340,15.0,2325,17.0,2308,963,241,52,0,2,10,1,25,0,0,0,8,0,0,0,8,1103,1,665,0,0,0,0,1,0,0,1,181,5,0,0,4,0
96,Bizkaia,3,72,OTXANDIO,967,746,5.0,741,6.0,735,221,24,10,0,0,3,0,1,0,0,0,1,0,1,0,0,284,0,386,0,0,0,1,0,0,0,0,22,2,0,0,0,0
97,Bizkaia,3,74,URDUÑA/ORDUÑA,3273,2417,20.0,2397,26.0,2371,856,225,76,0,3,5,1,36,2,1,0,14,0,1,3,4,1079,0,758,0,0,0,1,0,0,0,1,155,2,0,0,4,0
98,Bizkaia,3,75,OROZKO,2066,1529,17.0,1512,23.0,1489,537,65,39,1,3,12,0,17,1,0,0,7,0,1,0,3,785,0,429,0,0,0,0,1,0,0,0,115,9,1,0,0,0
99,Bizkaia,3,88,UBIDE,133,106,1.0,105,1.0,104,27,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,68,0,0,0,0,0,0,0,0,3,2,0,0,0,0
100,Bizkaia,3,91,ATXONDO,1086,846,4.0,842,5.0,837,240,56,10,0,1,4,0,6,0,0,1,0,0,0,1,0,370,0,341,0,0,0,0,0,0,0,0,41,6,0,0,0,0
101,Bizkaia,3,92,BEDIA,874,655,3.0,652,14.0,638,219,40,12,0,1,4,0,6,0,0,0,6,0,0,0,1,375,1,162,0,0,0,0,0,0,0,0,29,0,0,0,1,0
102,Bizkaia,3,93,AREATZA,897,740,6.0,734,15.0,719,157,24,24,0,1,6,0,4,1,0,0,0,0,1,0,1,312,0,305,0,0,0,0,0,0,0,0,29,11,0,0,0,0
103,Bizkaia,3,94,IGORRE,3137,2335,21.0,2314,22.0,2292,802,92,21,3,1,7,0,19,2,2,0,10,1,2,2,0,1123,0,889,0,0,0,0,2,0,0,1,99,11,2,0,3,0
104,Bizkaia,3,95,ZALDIBAR,2335,1550,5.0,1545,11.0,1534,785,282,75,0,0,6,0,17,1,0,0,1,11,1,2,5,501,1,459,0,0,0,0,2,0,0,0,165,4,0,0,1,0
105,Bizkaia,3,97,ZARATAMO,1313,908,7.0,901,7.0,894,405,114,25,0,0,17,0,15,0,0,0,4,0,0,0,0,365,0,260,0,1,0,0,0,0,1,0,90,1,0,0,1,0
106,Bizkaia,3,910,IURRETA,2823,1910,6.0,1904,9.0,1895,913,330,77,0,0,10,2,30,1,0,0,15,0,0,0,0,727,0,526,0,0,0,0,3,0,0,0,165,1,1,3,4,0
107,Bizkaia,4,4,AMOROTO,323,238,1.0,237,2.0,235,85,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,116,1,110,0,0,0,0,0,0,0,0,4,0,0,0,0,1
108,Bizkaia,4,7,MUNITIBAR-ARBATZEGI GERRIKAITZ-,386,276,,276,1.0,275,110,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,116,0,143,0,0,0,0,0,0,0,0,7,2,0,0,0,0
109,Bizkaia,4,10,ARRIETA,483,364,2.0,362,1.0,361,119,9,0,0,0,2,0,2,2,0,0,0,0,0,1,0,198,0,118,0,0,0,0,0,0,0,0,25,2,0,0,2,0
110,Bizkaia,4,12,BAKIO,2072,1623,9.0,1614,4.0,1610,449,59,25,0,1,10,3,15,3,0,0,1,0,0,0,2,760,0,602,0,0,0,2,0,1,0,0,102,18,3,0,3,0
111,Bizkaia,4,14,BARRIKA,1238,809,4.0,805,12.0,793,429,86,22,0,0,14,1,21,0,0,0,3,0,0,0,2,353,0,220,0,0,0,0,1,1,0,0,59,7,0,0,3,0
112,Bizkaia,4,16,BERANGO,5452,3725,24.0,3701,23.0,3678,1727,548,217,2,1,45,3,149,2,0,0,44,0,0,0,5,1432,2,777,2,0,0,1,2,0,0,2,415,12,1,1,15,0
113,Bizkaia,4,17,BERMEO,13222,8785,99.0,8686,43.0,8643,4437,375,77,2,4,41,3,39,8,1,3,15,0,2,4,5,4795,0,2683,2,0,1,1,26,0,1,4,493,41,1,2,12,2
114,Bizkaia,4,18,BERRIATUA,865,593,3.0,590,8.0,582,272,16,1,0,0,2,0,1,2,0,0,1,0,1,0,0,248,0,280,0,0,0,0,0,0,0,0,27,3,0,0,0,0
115,Bizkaia,4,21,BUSTURIA,1326,954,13.0,941,8.0,933,372,63,20,0,1,3,0,5,1,1,0,1,0,1,0,0,480,0,289,0,0,0,1,0,0,0,0,60,4,0,0,3,0
116,Bizkaia,4,28,EA,693,601,5.0,596,5.0,591,92,3,0,0,0,2,0,4,0,0,0,1,0,1,0,0,254,0,305,0,0,0,0,0,0,0,0,19,2,0,0,0,0
117,Bizkaia,4,30,ETXEBARRIA,606,526,1.0,525,4.0,521,80,8,3,0,1,0,0,0,1,0,0,0,0,0,0,0,274,0,225,0,0,0,0,0,0,0,0,9,0,0,0,0,0
118,Bizkaia,4,31,ELANTXOBE,306,246,,246,2.0,244,60,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,127,0,106,0,0,0,0,0,0,0,0,3,2,0,0,0,0
119,Bizkaia,4,33,EREÑO,212,170,4.0,166,5.0,161,42,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,55,0,0,0,0,0,0,0,0,7,1,0,0,0,0
120,Bizkaia,4,35,FRUIZ,403,333,3.0,330,4.0,326,70,9,1,0,0,0,0,2,0,0,1,0,0,0,1,0,177,0,109,0,0,0,0,0,0,0,0,25,1,0,0,0,0
121,Bizkaia,4,38,GAMIZ-FIKA,1158,840,1.0,839,3.0,836,318,32,11,0,1,4,1,5,1,0,0,2,0,0,1,0,439,0,277,0,0,0,0,0,0,0,2,48,10,0,0,2,0
122,Bizkaia,4,40,GATIKA,1309,937,26.0,911,16.0,895,372,48,10,0,1,5,0,7,0,0,0,7,1,1,0,1,461,0,274,0,0,0,1,0,0,0,1,72,5,0,0,0,0
123,Bizkaia,4,41,GAUTEGIZ ARTEAGA,688,564,6.0,558,5.0,553,124,19,7,0,0,5,0,3,0,0,0,5,0,0,0,0,325,0,167,0,0,0,1,0,0,0,1,17,3,0,0,0,0
