index,Ámbito,Partido,Votos
188,ATAUN,PSE-PSOE,22
189,BEASAIN,PSE-PSOE,1018
190,BELAUNTZA,PSE-PSOE,3
191,BERASTEGI,PSE-PSOE,28
192,BERROBI,PSE-PSOE,15
193,ZEGAMA,PSE-PSOE,25
194,ZERAIN,PSE-PSOE,1
195,ZIZURKIL,PSE-PSOE,246
196,ELDUAIN,PSE-PSOE,0
197,EZKIO-ITSASO,PSE-PSOE,12
198,GAINTZA,PSE-PSOE,1
199,GABIRIA,PSE-PSOE,7
200,HERNIALDE,PSE-PSOE,6
201,IBARRA,PSE-PSOE,256
202,IDIAZABAL,PSE-PSOE,52
203,IKAZTEGIETA,PSE-PSOE,11
204,IRURA,PSE-PSOE,64
205,ITSASONDO,PSE-PSOE,19
206,LARRAUL,PSE-PSOE,1
207,LAZKAO,PSE-PSOE,320
208,LEABURU,PSE-PSOE,3
209,LEGAZPI,PSE-PSOE,732
210,LEGORRETA,PSE-PSOE,69
211,LIZARTZA,PSE-PSOE,3
212,MUTILOA,PSE-PSOE,4
213,OLABERRIA,PSE-PSOE,83
214,OREXA,PSE-PSOE,0
215,ORMAIZTEGI,PSE-PSOE,47
216,SEGURA,PSE-PSOE,21
217,TOLOSA,PSE-PSOE,1050
218,VILLABONA,PSE-PSOE,320
219,ORDIZIA,PSE-PSOE,680
220,URRETXU,PSE-PSOE,681
221,ZALDIBIA,PSE-PSOE,34
222,ZUMARRAGA,PSE-PSOE,1702
223,BALIARRAIN,PSE-PSOE,1
224,ORENDAIN,PSE-PSOE,0
225,ALTZAGA,PSE-PSOE,4
226,GAZTELU,PSE-PSOE,1
227,AIZARNAZABAL,PSE-PSOE,9
228,ANTZUOLA,PSE-PSOE,108
229,ARETXABALETA,PSE-PSOE,431
230,AIA,PSE-PSOE,24
231,AZKOITIA,PSE-PSOE,588
232,AZPEITIA,PSE-PSOE,342
233,BEIZAMA,PSE-PSOE,0
234,BIDANIA-GOIATZ,PSE-PSOE,4
235,ZESTOA,PSE-PSOE,82
236,DEBA,PSE-PSOE,270
237,EIBAR,PSE-PSOE,4255
238,ELGOIBAR,PSE-PSOE,843
239,ELGETA,PSE-PSOE,24
240,ESKORIATZA,PSE-PSOE,240
241,GETARIA,PSE-PSOE,60
242,ARRASATE/MONDRAGON,PSE-PSOE,1867
243,MUTRIKU,PSE-PSOE,135
244,OÑATI,PSE-PSOE,371
245,ORIO,PSE-PSOE,267
246,SORALUZE-PLACENCIA DE LAS ARMAS,PSE-PSOE,341
247,ERREZIL,PSE-PSOE,0
248,LEINTZ-GATZAGA,PSE-PSOE,0
249,BERGARA,PSE-PSOE,808
250,ZARAUTZ,PSE-PSOE,1443
251,ZUMAIA,PSE-PSOE,659
252,MENDARO,PSE-PSOE,125
253,MUNICIPIO CERA GIPUZKOA,PSE-PSOE,189
254,VITORIA-GASTEIZ,PP,16792
255,ALEGRÍA-DULANTZI,PP,73
256,ARAMAIO,PP,1
257,ARMIÑÓN,PP,17
258,ARRATZUA-UBARRUNDIA,PP,43
259,ASPARRENA,PP,20
260,BAÑOS DE EBRO/MAÑUETA,PP,66
261,BARRUNDIA,PP,23
262,BERANTEVILLA,PP,41
263,BERNEDO,PP,27
264,CAMPEZO/KANPEZU,PP,32
265,ZIGOITIA,PP,53
266,KRIPAN,PP,11
267,KUARTANGO,PP,20
268,ELBURGO/BURGELU,PP,33
269,ELCIEGO,PP,121
270,ELVILLAR/BILAR,PP,35
271,IRURAIZ-GAUNA,PP,23
272,LABASTIDA/BASTIDA,PP,180
273,LAGRÁN,PP,27
274,LAGUARDIA,PP,213
275,LANCIEGO/LANTZIEGO,PP,53
276,LAPUEBLA DE LABARCA,PP,77
277,LEZA,PP,4
278,ARRAIA-MAEZTU,PP,32
279,MOREDA DE ÁLAVA/MOREDA ARABA,PP,15
280,NAVARIDAS,PP,49
281,OYÓN-OION,PP,212
282,PEÑACERRADA-URIZAHARRA,PP,23
283,ERRIBERAGOITIA/RIBERA ALTA,PP,40
284,RIBERA BAJA/ERRIBERA BEITIA,PP,98
285,AÑANA,PP,13
286,AGURAIN/SALVATIERRA,PP,83
287,SAMANIEGO,PP,4
288,SAN MILLÁN/DONEMILIAGA,PP,16
289,URKABUSTAIZ,PP,21
290,VALDEGOVÍA/GAUBEA,PP,70
291,HARANA/VALLE DE ARANA,PP,12
292,VILLABUENA DE ÁLAVA/ESKUERNAGA,PP,13
293,LEGUTIO,PP,21
294,YÉCORA/IEKORA,PP,44
295,ZALDUONDO,PP,0
296,ZAMBRANA,PP,52
297,ZUIA,PP,83
298,IRUÑA OKA/IRUÑA DE OCA,PP,166
299,LANTARÓN,PP,94
300,AMURRIO,PP,254
301,ARTZINIEGA,PP,83
302,AYALA/AIARA,PP,65
303,LAUDIO/LLODIO,PP,551
304,OKONDO,PP,13
305,MUNICIPIO CERA ARABA,PP,25
306,BILBAO,PP,14729
307,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,PP,94
308,ARTZENTALES,PP,3
309,BARAKALDO,PP,2991
310,KARRANTZA HARANA/VALLE DE CARRANZA,PP,34
311,GALDAMES,PP,4
312,GORDEXOLA,PP,56
313,GÜEÑES,PP,103
314,LANESTOSA,PP,0
315,MUSKIZ,PP,84
316,PORTUGALETE,PP,1499
317,VALLE DE TRÁPAGA-TRAPAGARAN,PP,196
318,SANTURTZI,PP,1109
319,ORTUELLA,PP,98
320,SESTAO,PP,636
321,SOPUERTA,PP,25
322,TRUCIOS-TURTZIOZ,PP,9
323,BALMASEDA,PP,163
324,ZALLA,PP,105
325,ALONSOTEGI,PP,34
326,ZIERBENA,PP,13
327,ABADIÑO,PP,155
328,AMOREBIETA-ETXANO,PP,202
329,ARAKALDO,PP,1
330,ARANTZAZU,PP,0
331,ARRANKUDIAGA,PP,7
332,ARRIGORRIAGA,PP,193
333,BASAURI,PP,1142
334,BERRIZ,PP,77
335,ARTEA,PP,10
336,ZEANURI,PP,6
337,ZEBERIO,PP,3
338,DIMA,PP,2
339,DURANGO,PP,661
340,ETXEBARRI,PP,258
341,ELORRIO,PP,139
342,ERMUA,PP,791
343,GALDAKAO,PP,596
344,GARAI,PP,1
345,IZURTZA,PP,1
346,LEMOA,PP,28
347,MALLABIA,PP,6
348,MAÑARIA,PP,5
349,UGAO-MIRABALLES,PP,52
350,OTXANDIO,PP,10
351,URDUÑA/ORDUÑA,PP,76
352,OROZKO,PP,39
353,UBIDE,PP,0
354,ATXONDO,PP,10
355,BEDIA,PP,12
356,AREATZA,PP,24
357,IGORRE,PP,21
358,ZALDIBAR,PP,75
359,ZARATAMO,PP,25
360,IURRETA,PP,77
361,AMOROTO,PP,0
362,MUNITIBAR-ARBATZEGI GERRIKAITZ-,PP,0
363,ARRIETA,PP,0
364,BAKIO,PP,25
365,BARRIKA,PP,22
366,BERANGO,PP,217
367,BERMEO,PP,77
368,BERRIATUA,PP,1
369,BUSTURIA,PP,20
370,EA,PP,0
371,ETXEBARRIA,PP,3
372,ELANTXOBE,PP,1
373,EREÑO,PP,1
374,FRUIZ,PP,1
375,GAMIZ-FIKA,PP,11
376,GATIKA,PP,10
377,GAUTEGIZ ARTEAGA,PP,7
378,GORLIZ,PP,85
379,GETXO,PP,6081
380,GERNIKA-LUMO,PP,190
381,GIZABURUAGA,PP,0
382,IBARRANGELU,PP,2
383,ISPASTER,PP,1
384,LARRABETZU,PP,14
385,LAUKIZ,PP,52
386,LEIOA,PP,1013
387,LEMOIZ,PP,5
388,LEKEITIO,PP,38
389,MARKINA-XEMEIN,PP,27
390,MARURI-JATABE,PP,15
391,MENDATA,PP,0
392,MENDEXA,PP,2
393,MEÑAKA,PP,1
394,MORGA,PP,1
395,MUXIKA,PP,4
396,MUNDAKA,PP,7
397,MUNGIA,PP,366
398,AULESTI,PP,0
399,ONDARROA,PP,69
400,SUKARRIETA,PP,3
401,PLENTZIA,PP,79
402,ERRIGOITI,PP,2
403,LEZAMA,PP,23
404,SOPELA,PP,172
405,URDULIZ,PP,56
406,DERIO,PP,129
407,ERANDIO,PP,442
408,LOIU,PP,65
409,SONDIKA,PP,115
410,ZAMUDIO,PP,32
411,FORUA,PP,7
412,KORTEZUBI,PP,0
413,MURUETA,PP,0
414,NABARNIZ,PP,0
415,AJANGIZ,PP,2
416,ARRATZU,PP,0
417,ZIORTZA - BOLIBAR,PP,2
418,MUNICIPIO CERA BIZKAIA,PP,88
419,HERNANI,PP,228
420,DONOSTIA/SAN SEBASTIÁN,PP,7649
421,URNIETA,PP,99
422,USURBIL,PP,52
423,LASARTE-ORIA,PP,493
424,ASTIGARRAGA,PP,53
425,HONDARRIBIA,PP,308
426,IRUN,PP,1861
427,LEZO,PP,66
428,OIARTZUN,PP,75
429,PASAIA,PP,265
430,ERRENTERIA,PP,680
431,ABALTZISKETA,PP,0
432,ADUNA,PP,2
433,ALBIZTUR,PP,0
434,ALEGIA,PP,15
435,ALKIZA,PP,1
436,ALTZO,PP,0
437,AMEZKETA,PP,5
438,ANDOAIN,PP,236
439,ANOETA,PP,27
440,ARAMA,PP,1
441,ASTEASU,PP,10
442,ATAUN,PP,0
443,BEASAIN,PP,188
444,BELAUNTZA,PP,0
445,BERASTEGI,PP,5
446,BERROBI,PP,5
447,ZEGAMA,PP,0
448,ZERAIN,PP,0
449,ZIZURKIL,PP,34
450,ELDUAIN,PP,0
451,EZKIO-ITSASO,PP,1
452,GAINTZA,PP,0
453,GABIRIA,PP,1
454,HERNIALDE,PP,3
455,IBARRA,PP,42
456,IDIAZABAL,PP,22
457,IKAZTEGIETA,PP,2
458,IRURA,PP,8
459,ITSASONDO,PP,2
460,LARRAUL,PP,0
461,LAZKAO,PP,47
462,LEABURU,PP,1
463,LEGAZPI,PP,138
464,LEGORRETA,PP,16
465,LIZARTZA,PP,0
466,MUTILOA,PP,0
467,OLABERRIA,PP,26
468,OREXA,PP,0
469,ORMAIZTEGI,PP,6
470,SEGURA,PP,0
471,TOLOSA,PP,238
472,VILLABONA,PP,71
473,ORDIZIA,PP,142
474,URRETXU,PP,72
475,ZALDIBIA,PP,2
476,ZUMARRAGA,PP,190
477,BALIARRAIN,PP,0
478,ORENDAIN,PP,0
479,ALTZAGA,PP,0
480,GAZTELU,PP,1
481,AIZARNAZABAL,PP,0
482,ANTZUOLA,PP,16
483,ARETXABALETA,PP,62
484,AIA,PP,8
485,AZKOITIA,PP,107
486,AZPEITIA,PP,119
487,BEIZAMA,PP,1
488,BIDANIA-GOIATZ,PP,4
489,ZESTOA,PP,8
490,DEBA,PP,48
491,EIBAR,PP,562
492,ELGOIBAR,PP,169
493,ELGETA,PP,6
494,ESKORIATZA,PP,39
495,GETARIA,PP,7
496,ARRASATE/MONDRAGON,PP,340
497,MUTRIKU,PP,54
498,OÑATI,PP,101
499,ORIO,PP,59
500,SORALUZE-PLACENCIA DE LAS ARMAS,PP,80
501,ERREZIL,PP,0
502,LEINTZ-GATZAGA,PP,0
503,BERGARA,PP,120
504,ZARAUTZ,PP,403
505,ZUMAIA,PP,81
506,MENDARO,PP,22
507,MUNICIPIO CERA GIPUZKOA,PP,56
